dataset	lang	tokenizer	vocab_size	freq@95%	avg_len
en_lt	en	unigram	1500	47	40.8667
en_lt	en	hft	1500	127	41.8189
en_lt	en	bpe	2000	18	39.3072
en_lt	lt	bpe	2000	41	41.4265
en_lt	lt	hft	3000	53	34.5149
en_lt	en	unigram	3000	16	35.016
en_lt	lt	unigram	3000	24	37.88245
en_lt	en	hft	3000	42	34.41545
en_lt	lt	bpe	4000	14	34.79265
en_lt	en	bpe	4000	6	33.9014
en_lt	en	hft	4000	24	32.21965
en_lt	en	unigram	4000	10	33.4104
en_lt	lt	hft	4000	35	32.0441
en_lt	lt	unigram	4000	15	35.56465
en_lt	lt	unigram	6000	8	32.8548
en_lt	lt	hft	6000	18	28.98205
en_lt	en	unigram	6000	5	31.7595
en_lt	en	hft	6000	11	30.02855
en_lt	lt	bpe	8000	6	30.0435
en_lt	lt	hft	8000	12	27.3538
en_lt	en	unigram	8000	3	31.0067
en_lt	lt	unigram	8000	5	31.30365
en_lt	en	hft	8000	6	28.9193
en_lt	en	bpe	8000	2	30.66325
en_lt	en	bpe	16000	1	29.0824
en_lt	lt	bpe	16000	3	26.96595
en_lt	lt	bpe	32000	1	25.08495
en_lt	en	bpe	32000	1	28.5019
