am unigram 449.89005700342864
am bpe 653.0939785968687
am hft 716.2838080006854
ar unigram 485.06416893462324
ar bpe 561.203998369676
ar hft 668.1700036403349
chr unigram 143.1264652211677
chr bpe 311.5262916495466
chr hft 201.78186225401802
cs unigram 695.6538667832099
cs bpe 881.6077413273945
cs hft 987.1107264655226
en unigram 339.0372545174972
en bpe 481.09486036531007
en hft 520.3156761368132
fi unigram 772.7989987882158
fi bpe 978.4782256920985
fi hft 944.4702428251514
ga unigram 153.19037067608016
ga bpe 195.93900200623213
ga hft 222.12054928311912
hi unigram 345.66211883430344
hi bpe 375.72231350909465
hi hft 431.7084813889335
it unigram 693.3905078370905
it bpe 878.4453302190176
it hft 895.0093336107066
ja unigram 529.5936311805956
ja bpe 558.2670979891375
ja hft 111.44116337661619
jak unigram 200.23920529450928
jak bpe 238.29036285673925
jak hft 255.25033132994298
lt unigram 534.5790142831602
lt bpe 649.3006833339482
lt hft 742.8353814390647
mr unigram 442.27244482409264
mr bpe 569.6435398535681
mr hft 602.3135616648748
my unigram 750.1278278469715
my bpe 976.9866772469095
my hft 987.8133111801392
sv unigram 673.5964004052524
sv bpe 837.0190968312355
sv hft 985.5533039850117
syr unigram 104.65893925954339
syr bpe 132.61462095385966
syr hft 127.95658463584968
zu unigram 147.64945780292314
zu bpe 176.59082087285248
zu hft 204.27913761180892
ojb unigram 196.99957766568653
ojb bpe 240.28036485644827
ojb hft 251.17638345148663
